Wall time,Step,Value
1735827450.2915697,33246,-1497.279541015625
1735827453.016198,33295,-1397.2874755859375
1735827456.0674052,33351,-1397.2926025390625
1735827459.471331,33411,-1397.302978515625
1735827462.8132215,33471,-1397.308837890625
1735827465.8365822,33524,-1297.2969970703125
1735827469.2466333,33584,-1297.3115234375
1735827472.346826,33638,-1397.29638671875
1735827475.5090961,33692,-1397.2904052734375
1735827479.1511946,33752,-1397.2938232421875
1735827482.6619103,33812,-1397.287841796875
1735827485.347394,33860,-1497.304931640625
1735827488.7334177,33919,-1497.3233642578125
1735827492.2361884,33979,-1497.334228515625
1735827495.9360306,34039,-1497.326171875
1735827499.4236822,34095,-1597.3248291015625
1735827502.9689784,34155,-1597.328857421875
1735827506.5313823,34215,-1597.3389892578125
1735827509.658297,34268,-1597.321533203125
1735827513.3487546,34326,-1597.3221435546875
1735827516.9108887,34386,-1597.3310546875
1735827520.6379278,34446,-1497.3236083984375
1735827524.275775,34506,-1497.3270263671875
1735827527.6585631,34560,-1397.313720703125
1735827531.5195196,34619,-1397.2998046875
1735827535.1500704,34679,-1297.2928466796875
1735827538.6331112,34738,-1097.290283203125
1735827541.737888,34792,-1097.27685546875
1735827545.2306714,34850,-1197.270263671875
1735827548.3943677,34899,-1397.2581787109375
1735827551.9039218,34959,-1297.283203125
1735827555.3485796,35018,-1397.27099609375
1735827558.4755187,35072,-1397.2650146484375
1735827561.6932025,35127,-1397.2655029296875
1735827565.4122167,35186,-1397.2530517578125
1735827568.8861353,35245,-1497.2496337890625
1735827572.3118875,35303,-1297.240966796875
1735827575.7868183,35362,-1197.2403564453125
1735827579.128678,35420,-1297.227294921875
1735827583.0071542,35479,-1297.221923828125
1735827586.4973936,35538,-1297.2237548828125
1735827590.0471983,35598,-1297.223876953125
1735827593.523079,35658,-1297.2197265625
1735827597.0590377,35718,-1197.220703125
1735827600.4940999,35772,-1297.218994140625
1735827603.972289,35831,-1297.2105712890625
1735827607.3289878,35888,-1397.2225341796875
1735827610.798523,35948,-1397.2236328125
1735827614.3636594,36008,-1297.2366943359375
1735827617.968424,36067,-1297.24365234375
1735827621.3569968,36124,-1397.23828125
1735827624.4519782,36177,-1597.2459716796875
1735827627.8631816,36236,-1497.250244140625
1735827631.1565247,36292,-1497.2469482421875
1735827634.6467674,36346,-1397.2635498046875
1735827638.2087343,36405,-1397.2425537109375
1735827641.557338,36461,-1397.2427978515625
1735827644.8032699,36516,-1397.2421875
1735827648.3055813,36575,-1297.234619140625
1735827652.1120172,36634,-1297.237548828125
1735827655.6298544,36692,-1197.2391357421875
1735827658.7078946,36744,-1397.2431640625
1735827661.8982553,36799,-1597.2392578125
